PS1,PS2,PS3,PS4,PS5,PS6,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,VS1,CP,CE,SE
1.0,2.1,2.04,1.84,2.31,1.08,18.0,1.5,3.5,25.0,26.5,26.84,27.04,1.0,5.0,90.0,91.92
1.01,2.1,2.05,1.83,2.31,1.07,18.01,,,,,,,,,,
1.02,2.1,2.05,1.82,2.3,1.07,18.03,,,,,,,,,,
1.03,2.1,2.06,1.81,2.3,1.06,18.04,,,,,,,,,,
1.04,2.1,2.06,1.81,2.29,1.05,18.05,,,,,,,,,,
1.05,2.1,2.07,1.8,2.29,1.04,18.06,,,,,,,,,,
1.06,2.1,2.07,1.79,2.28,1.03,18.07,,,,,,,,,,
1.07,2.1,2.08,1.78,2.28,1.02,18.08,,,,,,,,,,
1.08,2.1,2.08,1.77,2.27,1.01,18.08,,,,,,,,,,
1.09,2.1,2.09,1.76,2.27,1.0,18.09,,,,,,,,,,
1.1,2.1,2.09,1.75,2.26,1.0,18.09,1.6,3.5,,,,,,,,
1.11,2.09,2.1,1.74,2.26,0.99,18.09,,,,,,,,,,
1.12,2.09,2.1,1.74,2.25,0.98,18.09,,,,,,,,,,
1.13,2.09,2.1,1.73,2.25,0.97,18.09,,,,,,,,,,
1.14,2.09,2.11,1.72,2.24,0.96,18.09,,,,,,,,,,
1.15,2.09,2.11,1.71,2.24,0.95,18.09,,,,,,,,,,
1.16,2.09,2.12,1.7,2.23,0.94,18.08,,,,,,,,,,
1.17,2.09,2.12,1.69,2.23,0.94,18.08,,,,,,,,,,
1.18,2.08,2.12,1.68,2.22,0.93,18.07,,,,,,,,,,
1.19,2.08,2.13,1.67,2.21,0.92,18.06,,,,,,,,,,
1.2,2.08,2.13,1.66,2.21,0.91,18.05,1.7,3.48,,,,,,,,
1.21,2.08,2.14,1.65,2.2,0.9,18.04,,,,,,,,,,
1.22,2.08,2.14,1.64,2.2,0.9,18.03,,,,,,,,,,
1.23,2.07,2.14,1.63,2.19,0.89,18.02,,,,,,,,,,
1.24,2.07,2.15,1.62,2.18,0.88,18.01,,,,,,,,,,
1.25,2.07,2.15,1.62,2.18,0.87,17.99,,,,,,,,,,
1.26,2.07,2.15,1.61,2.17,0.86,17.97,,,,,,,,,,
1.27,2.06,2.16,1.6,2.17,0.86,17.96,,,,,,,,,,
1.28,2.06,2.16,1.59,2.16,0.85,17.94,,,,,,,,,,
1.29,2.06,2.16,1.58,2.15,0.84,17.92,,,,,,,,,,
1.3,2.06,2.16,1.57,2.15,0.83,17.89,1.8,3.46,,,,,,,,
1.31,2.05,2.17,1.56,2.14,0.83,17.87,,,,,,,,,,
1.31,2.05,2.17,1.55,2.13,0.82,17.85,,,,,,,,,,
1.32,2.05,2.17,1.54,2.13,0.81,17.82,,,,,,,,,,
1.33,2.04,2.17,1.53,2.12,0.8,17.79,,,,,,,,,,
1.34,2.04,2.18,1.52,2.11,0.8,17.77,,,,,,,,,,
1.35,2.04,2.18,1.51,2.1,0.79,17.74,,,,,,,,,,
1.36,2.03,2.18,1.5,2.1,0.78,17.71,,,,,,,,,,
1.37,2.03,2.18,1.49,2.09,0.78,17.67,,,,,,,,,,
1.38,2.02,2.18,1.48,2.08,0.77,17.64,,,,,,,,,,
1.39,2.02,2.19,1.47,2.08,0.76,17.61,1.89,3.42,,,,,,,,
1.4,2.02,2.19,1.46,2.07,0.76,17.57,,,,,,,,,,
1.41,2.01,2.19,1.45,2.06,0.75,17.53,,,,,,,,,,
1.42,2.01,2.19,1.44,2.05,0.74,17.49,,,,,,,,,,
1.43,2.0,2.19,1.43,2.05,0.74,17.46,,,,,,,,,,
1.43,2.0,2.19,1.42,2.04,0.73,17.41,,,,,,,,,,
1.44,2.0,2.19,1.41,2.03,0.72,17.37,,,,,,,,,,
1.45,1.99,2.19,1.4,2.02,0.72,17.33,,,,,,,,,,
1.46,1.99,2.2,1.39,2.01,0.71,17.28,,,,,,,,,,
1.47,1.98,2.2,1.38,2.01,0.7,17.24,,,,,,,,,,
1.48,1.98,2.2,1.37,2.0,0.7,17.19,1.98,3.38,,,,,,,,
1.49,1.97,2.2,1.36,1.99,0.69,17.14,,,,,,,,,,
1.5,1.97,2.2,1.35,1.98,0.69,17.09,,,,,,,,,,
1.51,1.96,2.2,1.34,1.97,0.68,17.04,,,,,,,,,,
1.51,1.96,2.2,1.33,1.97,0.68,16.99,,,,,,,,,,
1.52,1.95,2.2,1.32,1.96,0.67,16.94,,,,,,,,,,
1.53,1.95,2.2,1.31,1.95,0.66,16.88,,,,,,,,,,
1.54,1.94,2.2,1.3,1.94,0.66,16.83,,,,,,,,,,
1.55,1.94,2.2,1.29,1.93,0.65,16.77,,,,,,,,,,
1.56,1.93,2.2,1.28,1.92,0.65,16.71,,,,,,,,,,
1.56,1.93,2.2,1.27,1.92,0.64,16.65,2.06,3.33,,,,,,,,
1.57,1.92,2.2,1.26,1.91,0.64,16.59,,,,,,,,,,
1.58,1.91,2.2,1.25,1.9,0.63,16.53,,,,,,,,,,
1.59,1.91,2.2,1.24,1.89,0.63,16.47,,,,,,,,,,
1.6,1.9,2.2,1.23,1.88,0.62,16.4,,,,,,,,,,
1.61,1.9,2.2,1.22,1.87,0.62,16.34,,,,,,,,,,
1.61,1.89,2.2,1.21,1.86,0.61,16.27,,,,,,,,,,
1.62,1.88,2.2,1.2,1.85,0.61,16.2,,,,,,,,,,
1.63,1.88,2.19,1.19,1.85,0.6,16.13,,,,,,,,,,
1.64,1.87,2.19,1.18,1.84,0.6,16.06,,,,,,,,,,
1.64,1.86,2.19,1.17,1.83,0.6,15.99,2.14,3.26,,,,,,,,
1.65,1.86,2.19,1.16,1.82,0.59,15.92,,,,,,,,,,
1.66,1.85,2.19,1.15,1.81,0.59,15.85,,,,,,,,,,
1.67,1.85,2.19,1.14,1.8,0.58,15.77,,,,,,,,,,
1.67,1.84,2.19,1.13,1.79,0.58,15.7,,,,,,,,,,
1.68,1.83,2.18,1.12,1.78,0.58,15.62,,,,,,,,,,
1.69,1.82,2.18,1.11,1.77,0.57,15.54,,,,,,,,,,
1.7,1.82,2.18,1.1,1.76,0.57,15.46,,,,,,,,,,
1.7,1.81,2.18,1.09,1.75,0.56,15.38,,,,,,,,,,
1.71,1.8,2.18,1.08,1.74,0.56,15.3,,,,,,,,,,
1.72,1.8,2.17,1.07,1.73,0.56,15.22,2.22,3.2,,,,,,,,
1.72,1.79,2.17,1.06,1.73,0.55,15.14,,,,,,,,,,
1.73,1.78,2.17,1.05,1.72,0.55,15.05,,,,,,,,,,
1.74,1.77,2.17,1.04,1.71,0.55,14.97,,,,,,,,,,
1.74,1.77,2.16,1.03,1.7,0.55,14.88,,,,,,,,,,
1.75,1.76,2.16,1.02,1.69,0.54,14.79,,,,,,,,,,
1.76,1.75,2.16,1.01,1.68,0.54,14.7,,,,,,,,,,
1.76,1.74,2.16,1.01,1.67,0.54,14.61,,,,,,,,,,
1.77,1.74,2.15,1.0,1.66,0.53,14.52,,,,,,,,,,
1.78,1.73,2.15,0.99,1.65,0.53,14.43,,,,,,,,,,
1.78,1.72,2.15,0.98,1.64,0.53,14.34,2.28,3.12,,,,,,,,
1.79,1.71,2.14,0.97,1.63,0.53,14.24,,,,,,,,,,
1.8,1.71,2.14,0.96,1.62,0.52,14.15,,,,,,,,,,
1.8,1.7,2.14,0.95,1.61,0.52,14.05,,,,,,,,,,
1.81,1.69,2.13,0.94,1.6,0.52,13.96,,,,,,,,,,
1.81,1.68,2.13,0.93,1.59,0.52,13.86,,,,,,,,,,
1.82,1.67,2.13,0.92,1.58,0.52,13.76,,,,,,,,,,
1.82,1.67,2.12,0.91,1.57,0.51,13.66,,,,,,,,,,
1.83,1.66,2.12,0.9,1.56,0.51,13.56,,,,,,,,,,
1.84,1.65,2.11,0.89,1.55,0.51,13.46,,,,,,,,,,
1.84,1.64,2.11,0.88,1.54,0.51,13.36,2.34,3.04,25.84,26.04,26.91,26.08,1.08,5.42,87.7,93.99
1.85,1.63,2.11,0.87,1.53,0.51,13.26,,,,,,,,,,
1.85,1.62,2.1,0.87,1.52,0.51,13.15,,,,,,,,,,
1.86,1.61,2.1,0.86,1.51,0.51,13.05,,,,,,,,,,
1.86,1.61,2.09,0.85,1.5,0.51,12.94,,,,,,,,,,
1.87,1.6,2.09,0.84,1.49,0.5,12.84,,,,,,,,,,
1.87,1.59,2.08,0.83,1.48,0.5,12.73,,,,,,,,,,
1.88,1.58,2.08,0.82,1.47,0.5,12.62,,,,,,,,,,
1.88,1.57,2.07,0.81,1.46,0.5,12.51,,,,,,,,,,
1.89,1.56,2.07,0.8,1.45,0.5,12.4,,,,,,,,,,
1.89,1.55,2.06,0.8,1.44,0.5,12.29,2.39,2.95,,,,,,,,
1.9,1.54,2.06,0.79,1.43,0.5,12.18,,,,,,,,,,
1.9,1.54,2.05,0.78,1.42,0.5,12.07,,,,,,,,,,
1.9,1.53,2.05,0.77,1.41,0.5,11.96,,,,,,,,,,
1.91,1.52,2.04,0.76,1.4,0.5,11.84,,,,,,,,,,
1.91,1.51,2.04,0.75,1.39,0.5,11.73,,,,,,,,,,
1.92,1.5,2.03,0.74,1.38,0.5,11.62,,,,,,,,,,
1.92,1.49,2.03,0.74,1.37,0.5,11.5,,,,,,,,,,
